epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,319.246,0.41827,0.47454,0.99324,0.94789,0.87872,0.96263,0.78076,0.70409,0.58477,1.28198,0.000303818,0.000303818,0.000303818
57,325.045,0.40117,0.44423,0.97916,0.91188,0.94425,0.97266,0.80614,0.63661,0.5581,1.1659,0.000297215,0.000297215,0.000297215
58,330.839,0.39423,0.44309,0.98005,0.86898,0.88738,0.94414,0.75526,0.68315,0.63082,1.23924,0.000290612,0.000290612,0.000290612
59,336.714,0.3867,0.44932,0.98521,0.97264,0.94282,0.98371,0.79173,0.64868,0.50071,1.20781,0.000284009,0.000284009,0.000284009
60,342.653,0.38411,0.42654,0.97152,0.93735,0.93505,0.98214,0.81267,0.62389,0.49551,1.18051,0.000277405,0.000277405,0.000277405
61,348.438,0.38639,0.45496,0.97116,0.89881,0.88719,0.92036,0.75718,0.62299,0.67053,1.18345,0.000270802,0.000270802,0.000270802
62,354.319,0.38198,0.4106,0.97688,0.92208,0.90372,0.97171,0.78824,0.68167,0.5963,1.22793,0.000264199,0.000264199,0.000264199
63,360.243,0.38862,0.42959,0.98649,0.92361,0.90503,0.94961,0.80392,0.66159,0.55626,1.21696,0.000257595,0.000257595,0.000257595
64,366.077,0.39552,0.41473,0.98327,0.88389,0.90875,0.95249,0.78696,0.67948,0.59895,1.23802,0.000250992,0.000250992,0.000250992
65,371.949,0.35342,0.39903,0.96436,0.90904,0.93245,0.9548,0.76115,0.67748,0.59639,1.21683,0.000244389,0.000244389,0.000244389
66,377.695,0.34769,0.40247,0.96233,0.94781,0.91041,0.96544,0.80941,0.63016,0.55623,1.18536,0.000237785,0.000237785,0.000237785
67,383.474,0.34136,0.38994,0.94759,0.94787,0.89883,0.97262,0.80389,0.62388,0.49906,1.18862,0.000231182,0.000231182,0.000231182
68,389.267,0.34043,0.38262,0.95945,0.94128,0.90315,0.97062,0.80341,0.64384,0.51918,1.2223,0.000224579,0.000224579,0.000224579
69,395.084,0.35473,0.38089,0.96672,0.94168,0.90688,0.96623,0.79777,0.64766,0.54319,1.24888,0.000217976,0.000217976,0.000217976
70,400.928,0.35209,0.38867,0.94977,0.96294,0.90997,0.98121,0.81943,0.61761,0.49483,1.19964,0.000211372,0.000211372,0.000211372
71,406.871,0.35407,0.38311,0.963,0.93475,0.92915,0.96676,0.79783,0.6564,0.52245,1.25833,0.000204769,0.000204769,0.000204769
72,412.728,0.35009,0.39822,0.94551,0.94785,0.92898,0.97184,0.77873,0.6803,0.5449,1.2979,0.000198166,0.000198166,0.000198166
73,418.558,0.35124,0.39482,0.96882,0.93357,0.88035,0.95702,0.79124,0.66061,0.57837,1.25053,0.000191562,0.000191562,0.000191562
