epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,850.003,0.29589,0.33184,0.92424,0.92865,0.93954,0.98692,0.82879,0.57994,0.42887,1.14806,0.000117625,0.000117625,0.000117625
84,866.549,0.30131,0.32377,0.9234,0.96341,0.94373,0.97905,0.83435,0.59031,0.44169,1.1508,0.000111438,0.000111438,0.000111438
85,878.867,0.30163,0.34303,0.93208,0.93802,0.95063,0.98199,0.8509,0.57523,0.43755,1.12671,0.00010525,0.00010525,0.00010525
86,890.741,0.29433,0.32848,0.92783,0.96359,0.88885,0.97898,0.8521,0.55043,0.42482,1.09791,9.90625e-05,9.90625e-05,9.90625e-05
87,901.781,0.27894,0.30442,0.91597,0.94126,0.89441,0.98323,0.85299,0.56404,0.47272,1.12981,9.2875e-05,9.2875e-05,9.2875e-05
88,911.062,0.28961,0.3254,0.91583,0.95073,0.89604,0.98332,0.85556,0.57148,0.4835,1.15489,8.66875e-05,8.66875e-05,8.66875e-05
89,923.679,0.28919,0.32,0.91809,0.96238,0.88329,0.98626,0.8485,0.57116,0.46698,1.15447,8.05e-05,8.05e-05,8.05e-05
90,936.223,0.29049,0.32873,0.9233,0.9494,0.88251,0.97975,0.85275,0.56856,0.4589,1.13272,7.43125e-05,7.43125e-05,7.43125e-05
91,980.407,0.20067,0.30833,0.85752,0.94463,0.94098,0.99134,0.84399,0.56856,0.41417,1.1548,6.8125e-05,6.8125e-05,6.8125e-05
92,988.774,0.18741,0.29487,0.83859,0.95916,0.94393,0.98603,0.83753,0.58397,0.40349,1.16166,6.19375e-05,6.19375e-05,6.19375e-05
93,997.026,0.1865,0.28319,0.85189,0.88151,0.94773,0.97515,0.84298,0.59445,0.42385,1.18026,5.575e-05,5.575e-05,5.575e-05
94,1007.75,0.18157,0.28034,0.84198,0.87582,0.97232,0.98631,0.83773,0.57414,0.4193,1.17921,4.95625e-05,4.95625e-05,4.95625e-05
95,1017.74,0.18196,0.27921,0.84841,0.93701,0.94638,0.98504,0.82534,0.5872,0.40565,1.18966,4.3375e-05,4.3375e-05,4.3375e-05
96,1026.6,0.18267,0.27414,0.83775,0.94733,0.94793,0.986,0.83289,0.58667,0.414,1.18663,3.71875e-05,3.71875e-05,3.71875e-05
97,1036.79,0.1771,0.26718,0.83758,0.9724,0.92742,0.98678,0.83766,0.58182,0.40493,1.18415,3.1e-05,3.1e-05,3.1e-05
98,1045.48,0.17499,0.27196,0.8376,0.95573,0.93948,0.98726,0.83989,0.57049,0.39641,1.17722,2.48125e-05,2.48125e-05,2.48125e-05
99,1052.78,0.16361,0.26191,0.84408,0.95719,0.94463,0.98818,0.84113,0.56391,0.39649,1.16671,1.8625e-05,1.8625e-05,1.8625e-05
100,1061.22,0.16368,0.25884,0.83745,0.96562,0.93931,0.98818,0.83755,0.56886,0.39385,1.16998,1.24375e-05,1.24375e-05,1.24375e-05
